City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Sindhnur,IN,15.7833,76.7667,74.68,80,100,19.6,light rain
176,Ojinaga,MX,29.5667,-104.4167,89.56,51,0,3.44,clear sky
177,Kapit,MY,2.0167,112.9333,80.22,80,99,1.79,overcast clouds
178,Wageningen,NL,51.9667,5.6667,59.95,94,100,4.61,overcast clouds
179,Bowen,AU,-20.0167,148.2333,61.7,45,0,0.56,clear sky
180,Antofagasta,CL,-23.65,-70.4,58.28,76,87,1.88,overcast clouds
181,Aklavik,CA,68.2191,-135.0107,42.04,72,98,23.64,overcast clouds
182,Okato,NZ,-39.2,173.8833,61.18,68,98,7.0,overcast clouds
183,Paramonga,PE,-10.6667,-77.8333,60.93,86,45,11.27,scattered clouds
184,Mahebourg,MU,-20.4081,57.7,68.29,83,75,12.66,light intensity shower rain
185,Saint-Georges,GD,12.0564,-61.7485,78.48,83,20,8.05,few clouds
186,Hatillo,PR,18.4863,-66.8254,81.16,91,100,5.99,overcast clouds
187,Kropotkin,RU,45.4375,40.5756,64.24,70,34,5.73,scattered clouds
188,Nyurba,RU,63.2842,118.3319,70.5,57,21,5.03,few clouds
189,Amga,RU,60.8953,131.9608,79.84,54,81,3.74,broken clouds
190,Paamiut,GL,61.994,-49.6678,41.23,87,100,8.5,overcast clouds
191,Tautira,PF,-17.7333,-149.15,77.04,67,54,17.83,broken clouds
192,Port Lincoln,AU,-34.7333,135.8667,57.27,62,1,6.62,clear sky
193,Praia,CV,14.9215,-23.5087,75.74,73,20,12.66,few clouds
194,Bichena,ET,10.45,38.2,53.53,90,100,4.65,light rain
195,Kavaratti,IN,10.5669,72.642,81.39,82,100,21.0,overcast clouds
196,Biak,ID,-0.9131,122.8766,77.18,89,100,7.2,overcast clouds
197,Karpathos,GR,35.507,27.2132,71.56,78,0,26.46,clear sky
198,Aalen,DE,48.8378,10.0933,68.99,52,100,4.21,overcast clouds
199,Thompson,CA,55.7435,-97.8558,78.96,38,0,10.36,clear sky
200,Porto Novo,BJ,6.4965,2.6036,76.82,89,98,6.53,overcast clouds
201,Suining,CN,30.508,105.5733,87.21,77,100,6.71,overcast clouds
202,Kodiak,US,57.79,-152.4072,58.51,77,100,8.05,overcast clouds
203,San Carlos De Bariloche,AR,-41.1456,-71.3082,28.15,86,75,5.75,broken clouds
204,Termini Imerese,IT,37.9837,13.6956,77.99,67,0,2.93,clear sky
205,Souillac,MU,-20.5167,57.5167,68.38,83,75,12.66,light intensity shower rain
206,Jalu,LY,29.0331,21.5482,77.54,44,0,13.29,clear sky
207,Baghdad,IQ,33.3406,44.4009,87.71,22,0,13.8,clear sky
208,Coquimbo,CL,-29.9533,-71.3436,55.13,87,75,9.22,broken clouds
209,Shellbrook,CA,53.2168,-106.4011,76.23,81,100,7.14,overcast clouds
210,Olafsvik,IS,64.8945,-23.7142,49.06,81,100,7.49,overcast clouds
211,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,87,100,19.57,overcast clouds
212,Novonukutskiy,RU,53.7002,102.7117,54.55,96,100,12.1,moderate rain
213,Chimbote,PE,-9.0853,-78.5783,60.87,85,74,12.91,broken clouds
214,Port Elizabeth,ZA,-33.918,25.5701,62.31,58,5,4.0,clear sky
215,Yellowknife,CA,62.456,-114.3525,64.92,63,75,3.44,broken clouds
216,Minudasht,IR,37.2289,55.3747,70.12,41,0,2.37,clear sky
217,Pevek,RU,69.7008,170.3133,38.95,78,100,11.7,overcast clouds
218,Labrea,BR,-7.2586,-64.7981,79.95,63,71,0.85,broken clouds
219,Garmsar,IR,35.2182,52.3409,80.4,22,0,6.44,clear sky
