City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,San Lorenzo,PY,2022-07-07 03:12:21,-25.3333,-57.5333,72.54,53,0,10.36
215,Dawei,MM,2022-07-07 03:12:21,14.0833,98.2,84.34,74,100,5.91
216,Abu Kamal,SY,2022-07-07 03:12:21,34.4506,40.9171,81.86,39,0,9.8
217,Tuatapere,NZ,2022-07-07 03:12:22,-46.1333,167.6833,46.65,71,100,4.81
218,Matara,LK,2022-07-07 03:12:22,5.9485,80.5353,80.62,81,100,10.71
219,Wamba,NG,2022-07-07 03:12:22,8.9333,8.6,71.17,90,83,2.86
220,Saint George,US,2022-07-07 03:08:11,37.1041,-113.5841,93.79,10,0,16.11
221,Maumere,ID,2022-07-07 03:12:23,-8.6199,122.2111,78.17,61,91,8.28
222,Ranau,MY,2022-07-07 03:08:10,5.9538,116.6641,85.08,55,100,0.69
223,Longyearbyen,SJ,2022-07-07 03:12:23,78.2186,15.6401,39.04,65,0,19.57
224,Westport,US,2022-07-07 03:12:23,41.1415,-73.3579,76.91,80,0,4.61
225,Bom Jesus Do Itabapoana,BR,2022-07-07 03:12:24,-21.1339,-41.6797,62.67,77,0,3.06
226,Paez,CO,2022-07-07 03:13:24,5.1011,-73.0512,61.63,96,38,3.51
227,Sarkand,KZ,2022-07-07 03:13:25,45.41,79.9186,78.13,22,87,4.72
228,Palana,RU,2022-07-07 03:13:25,59.1167,159.9667,54.73,83,53,11.83
229,Broken Hill,AU,2022-07-07 03:13:25,-31.95,141.4333,54.03,60,15,16.13
230,Huarmey,PE,2022-07-07 03:13:26,-10.0681,-78.1522,62.35,83,68,7.29
231,Caravelas,BR,2022-07-07 03:13:26,-17.7125,-39.2481,69.84,84,54,4.16
232,Yumen,CN,2022-07-07 03:13:26,40.2833,97.2,76.55,22,0,3.6
233,Srednekolymsk,RU,2022-07-07 03:13:26,67.45,153.6833,64.27,36,90,12.12
234,Alexandria,EG,2022-07-07 03:13:27,31.2156,29.9553,76.93,60,0,8.1
235,Port Blair,IN,2022-07-07 03:13:27,11.6667,92.75,83.03,79,100,14.34
236,Porto Nacional,BR,2022-07-07 03:13:27,-10.7081,-48.4172,71.6,44,0,1.54
237,Moerai,PF,2022-07-07 03:13:28,-22.4333,-151.3333,73.51,73,56,9.86
238,Butembo,CD,2022-07-07 03:13:28,0.15,29.2833,56.34,84,15,2.91
239,Burnie,AU,2022-07-07 03:13:28,-41.0667,145.9167,53.94,62,66,11.65
240,Mar Del Plata,AR,2022-07-07 03:10:34,-38.0023,-57.5575,50.09,93,100,4.0
241,Bambanglipuro,ID,2022-07-07 03:13:29,-7.95,110.2833,82.42,68,29,10.89
242,Georgetown,MY,2022-07-07 03:10:46,5.4112,100.3354,88.9,69,20,5.75
