City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
566,Ashcroft,CA,85.48,clear sky,50.7165,-121.2859,Ashcroft Apartments Motel
568,San Ramon,US,83.26,clear sky,37.7799,-121.978,San Ramon Marriott
574,Pangai,TO,78.28,clear sky,-19.8,-174.35,Ha'apai Beach Resort
577,Peniche,PT,82.29,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
579,Palu,ID,76.93,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
584,Santa Rosa,PH,89.02,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
585,Namatanai,PG,83.03,light rain,-3.6667,152.4333,Seagulls Inn Namatani
589,Payyannur,IN,79.65,light rain,12.1,75.2,Kavvayi Beach House
597,Laem Sing,TH,81.01,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
598,Payo,ID,78.26,overcast clouds,-3.7508,103.6372,Mess keban agung
599,Heyang,CN,78.75,broken clouds,26.1011,107.473,
602,Buraydah,SA,86.45,overcast clouds,26.326,43.975,Mövenpick Qassim
608,Luganville,VU,84.22,few clouds,-15.5333,167.1667,The Espiritu Hotel
610,Garwa,IN,86.2,clear sky,24.1833,83.8167,A.PS.D Utsav Garden
612,Arman,RU,80.02,broken clouds,59.7,150.1667,
616,Buchanan,LR,75.63,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
617,Dubti,ET,86.88,overcast clouds,11.7361,41.0853,degu Shiferaw
621,Neiafu,TO,79.52,clear sky,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
622,Atambua,ID,77.47,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
629,Puerto Narino,CO,76.91,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
638,Rudbar,AF,82.8,clear sky,30.15,62.6,
640,Ardakan,IR,77.58,clear sky,32.31,54.0175,Ardakan Hotel
645,Uruzgan,AF,75.27,clear sky,32.8333,66.0,
648,Bada,RU,77.09,light rain,51.392,109.8717,Kafe Gostinitsa
649,Ximei,CN,89.33,overcast clouds,24.9639,118.3794,Nan'an Hotel
651,Qena,EG,81.43,broken clouds,26.1615,32.7183,"Grand hotel ""Quena"""
652,Palmas,BR,75.07,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
653,Luwuk,ID,79.65,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
656,Veraval,IN,80.47,light rain,20.9,70.3667,Lords Inn Somnath
660,Nisia Floresta,BR,77.38,few clouds,-6.0911,-35.2086,Rancho Crepusculo
668,Chengde,CN,82.29,broken clouds,40.9725,117.9361,Super 8 Hotel
669,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
